"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SMG6",1559.07770958288,0.067798244944931,0.099575274020868,0.680874299484454,0.495951031475416,0.850884160785083
"ZNF584",96.021634024135,0.159865146569906,0.234765854052823,0.680955700371724,0.495899521669188,0.850884160785083
"ASB3",6.34407724647257,-0.585938019704121,0.860459122148636,-0.680959739541126,0.495896965790647,0.850884160785083
"DDX11",169.649246198516,0.120849770812449,0.177546000853769,0.680667377644758,0.496081982751409,0.850990041869863
"TXNDC9",380.955979731355,0.0982723065299163,0.144437189033072,0.680380912892281,0.496263303506406,0.851063522170675
"MARCH4",100.402587245097,0.155796519217652,0.228957244099786,0.680461191914731,0.496212486524407,0.851063522170675
"FAM89B",321.010922398841,0.121332476813234,0.178406750874042,0.680089044942569,0.496448080619592,0.851073885719784
"CHPT1",41.7782024397114,-0.243653905634274,0.358291779998709,-0.680043247531808,0.496477077586108,0.851073885719784
"TRAPPC2L",389.600879327043,0.0953670627336341,0.140217359798641,0.680137344410037,0.496417500436017,0.851073885719784
"GNAL",621.272723152804,-0.0812311860422361,0.11949741951298,-0.679773558067609,0.496647851764938,0.851129217239661
"ANXA4",2590.64681398473,-0.0679246177644813,0.0999201440428033,-0.679789029681384,0.496638053901757,0.851129217239661
"RPL18",4923.65109547498,0.0851081700705128,0.125288513125257,0.679297470674154,0.496949398743966,0.851171273684795
"BFSP1",69.713171281586,-0.173105649445423,0.254813247340501,-0.679343210182892,0.496920423754286,0.851171273684795
"FIP1L1",2005.9147735258,0.071875309195621,0.105800186542952,0.679349550734878,0.496916407222768,0.851171273684795
"PPP3CC",391.561980050435,-0.0887934823946208,0.130703437115816,-0.679350783376426,0.496915626386824,0.851171273684795
"ZNF573",18.4267194854438,0.332531947025076,0.489677435116219,0.679083664425243,0.497084852318576,0.85117360802043
"RNF216",517.866426002612,0.0880153248517451,0.129610285435734,0.679076699475265,0.49708926518352,0.85117360802043
"SH3PXD2A",4224.13528130101,-0.0596277244238623,0.0878704839651592,-0.678586502920648,0.497399897177712,0.851295182776768
"CRIP2",195.755645960146,-0.149290682665125,0.220057013565159,-0.678418198295324,0.497506573743839,0.851295182776768
"ARHGAP23",2253.42641335681,-0.0638672918333169,0.0941370631659336,-0.678450014111224,0.497486406982908,0.851295182776768
"LMNB2",1359.71438935405,0.074508909338235,0.109792693800768,0.678632673622533,0.497370634918646,0.851295182776768
"EHMT2",576.125182747802,0.0978945443115316,0.144211116375834,0.678828004190782,0.497246847645268,0.851295182776768
"CDC42SE1",4004.94377183336,0.0612836469087117,0.0904053728963237,0.677876158743258,0.497850217598874,0.851523631923936
"TMCO1",1385.26683131473,-0.0660483416717848,0.0974328499955793,-0.677885761062943,0.497844128792575,0.851523631923936
"ZFYVE21",764.548884035144,0.0807500413181219,0.119140680332926,0.677770523825065,0.497917203045914,0.851523631923936
"NSA2",2956.5035785791,-0.0708523415735586,0.104530650814973,-0.67781402891074,0.497889614924247,0.851523631923936
"NRG4",17.4743040621727,-0.326775714557708,0.482372922566839,-0.67743378467192,0.498130768830438,0.851770350541863
"CCDC69",174.468771059563,0.115211626146345,0.170198323686813,0.676925739635069,0.498453071968509,0.852202908271657
"PRDM16",32.0247163375838,-0.248094180928989,0.366917563534573,-0.676157822860972,0.498940447824367,0.852554297697637
